OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Rovaniemi;2890;19610411;1961;4;11;3485000;7365000;-6.1;-1.9;-11.4;0;11513;2.56;;
;;;Rovaniemi;2890;19610412;1961;4;12;3485000;7365000;-10.3;-0.6;-22.3;0;15233;2.21;;
;;;Rovaniemi;2890;19610413;1961;4;13;3485000;7365000;-8.1;1.6;-22.4;0;15785;2.39;;
;;;Rovaniemi;2890;19610414;1961;4;14;3485000;7365000;-2.2;-0.7;-4.6;3;4667;4.31;;
;;;Rovaniemi;2890;19610415;1961;4;15;3485000;7365000;0;2.2;-2.6;1;4702;5.61;;
;;;Rovaniemi;2890;19610416;1961;4;16;3485000;7365000;0.8;3.3;-0.5;2;6125;5.77;;
;;;Rovaniemi;2890;19610417;1961;4;17;3485000;7365000;0.7;6.7;-7.3;0;11278;4.77;;
;;;Rovaniemi;2890;19610418;1961;4;18;3485000;7365000;2.2;5.1;-0.3;0;9879;5.45;;
;;;Rovaniemi;2890;19610419;1961;4;19;3485000;7365000;-0.6;2.2;-4.9;0;8074;4.34;;
;;;Rovaniemi;2890;19610420;1961;4;20;3485000;7365000;-1.6;2;-6;0;11725;3.68;;
;;;Rovaniemi;2890;19610421;1961;4;21;3485000;7365000;-2.1;2;-8.1;0;13878;3.36;;
;;;Rovaniemi;2890;19610422;1961;4;22;3485000;7365000;-0.8;5.9;-12.5;0;16187;3.98;;
;;;Rovaniemi;2890;19610423;1961;4;23;3485000;7365000;-0.6;3.1;-4.5;0;16476;3.81;;
;;;Rovaniemi;2890;19610424;1961;4;24;3485000;7365000;-1.7;3.3;-8.7;0;17073;2.88;;
;;;Rovaniemi;2890;19610425;1961;4;25;3485000;7365000;0.6;8;-10.3;0;17929;3.64;;
;;;Rovaniemi;2890;19610426;1961;4;26;3485000;7365000;4.2;10.1;-3.8;0;14510;5.77;;
;;;Rovaniemi;2890;19610427;1961;4;27;3485000;7365000;0.1;6.9;-2.5;0;14805;4.3;;
;;;Rovaniemi;2890;19610428;1961;4;28;3485000;7365000;-3.3;0.2;-8.5;0;14707;3.06;;
;;;Rovaniemi;2890;19610429;1961;4;29;3485000;7365000;-3.1;1.1;-10.1;0;8998;3.54;;
;;;Rovaniemi;2890;19610430;1961;4;30;3485000;7365000;-0.8;3.2;-7.8;0;15616;3.73;;
;;;Rovaniemi;2890;19610501;1961;5;1;3485000;7365000;-0.2;4.6;-6.2;0;16522;3.96;;
;;;Rovaniemi;2890;19610502;1961;5;2;3485000;7365000;2.1;6.9;-2;0;15040;4.95;;
;;;Rovaniemi;2890;19610503;1961;5;3;3485000;7365000;2.9;7.2;-0.8;2;13877;5.44;;
;;;Rovaniemi;2890;19610504;1961;5;4;3485000;7365000;1.8;3.7;0.2;1;11662;5.74;;
;;;Rovaniemi;2890;19610505;1961;5;5;3485000;7365000;1.6;3.9;0.2;1;9499;5.65;;
;;;Rovaniemi;2890;19610506;1961;5;6;3485000;7365000;0.9;3.9;-1.1;3;6478;6.03;;
;;;Rovaniemi;2890;19610507;1961;5;7;3485000;7365000;0.9;2.3;-0.6;3;6639;6.14;;
;;;Rovaniemi;2890;19610508;1961;5;8;3485000;7365000;2.3;4;0.4;0;6133;6.65;;
;;;Rovaniemi;2890;19610509;1961;5;9;3485000;7365000;3.7;6.5;1.4;0;9641;6.61;;
;;;Rovaniemi;2890;19610510;1961;5;10;3485000;7365000;2.6;4.5;1.1;0;7000;5.96;;
;;;Rovaniemi;2890;19610511;1961;5;11;3485000;7365000;2.2;4.1;0.9;1;6965;6.18;;
;;;Rovaniemi;2890;19610512;1961;5;12;3485000;7365000;4.3;8.3;1.2;0;10609;6.55;;
;;;Rovaniemi;2890;19610513;1961;5;13;3485000;7365000;1.8;5.5;0.1;1;8590;5.92;;
;;;Rovaniemi;2890;19610514;1961;5;14;3485000;7365000;3.8;7.2;0.8;0;8491;6.46;;
;;;Rovaniemi;2890;19610515;1961;5;15;3485000;7365000;4.9;7.7;2.5;0;19295;5.71;;
;;;Rovaniemi;2890;19610516;1961;5;16;3485000;7365000;4.7;8.7;0;0;14256;5.03;;
;;;Rovaniemi;2890;19610517;1961;5;17;3485000;7365000;5.8;10.5;-1.7;0;19942;5.42;;
