OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;;
;;;Mänttä-Vilppula;1069;19610416;1961;4;16;3365000;6885000;4.7;8.5;2.1;0;12301;6.32;;;
;;;Mänttä-Vilppula;1069;19610417;1961;4;17;3365000;6885000;4.8;10.4;-1.6;0;13794;5.14;;;
;;;Mänttä-Vilppula;1069;19610418;1961;4;18;3365000;6885000;6.1;11.1;1.9;0;14804;5.18;;;
;;;Mänttä-Vilppula;1069;19610419;1961;4;19;3365000;6885000;2.8;6.5;0.2;0;14407;4.57;;;
;;;Mänttä-Vilppula;1069;19610420;1961;4;20;3365000;6885000;0.4;3.6;-2.5;0;15588;3.63;;;
;;;Mänttä-Vilppula;1069;19610421;1961;4;21;3365000;6885000;1.7;7.9;-7.3;0;17168;3.95;;;
;;;Mänttä-Vilppula;1069;19610422;1961;4;22;3365000;6885000;4.7;9.9;1;0;16214;5.11;;;
;;;Mänttä-Vilppula;1069;19610423;1961;4;23;3365000;6885000;4.8;12.2;-5;0;19008;4.97;;;
;;;Mänttä-Vilppula;1069;19610424;1961;4;24;3365000;6885000;6.6;13.3;-0.3;0;13912;5.31;;;
;;;Mänttä-Vilppula;1069;19610425;1961;4;25;3365000;6885000;9.8;17.5;1;0;19887;6.42;;;
;;;Mänttä-Vilppula;1069;19610426;1961;4;26;3365000;6885000;10.6;17.6;0.1;0;21343;6.4;;;
;;;Mänttä-Vilppula;1069;19610427;1961;4;27;3365000;6885000;6.2;11.7;2.8;0;19067;5.36;;;
;;;Mänttä-Vilppula;1069;19610428;1961;4;28;3365000;6885000;0.7;5;-4.4;0;17403;3.95;;;
;;;Mänttä-Vilppula;1069;19610429;1961;4;29;3365000;6885000;2.2;7.2;-6.6;0;11275;4.18;;;
;;;Mänttä-Vilppula;1069;19610430;1961;4;30;3365000;6885000;1.8;4.8;-2.4;0;15113;4.47;;;
;;;Mänttä-Vilppula;1069;19610501;1961;5;1;3365000;6885000;2.5;8.2;-6.6;0;19987;3.75;;;
;;;Mänttä-Vilppula;1069;19610502;1961;5;2;3365000;6885000;4.7;11.2;-4.1;0;10588;5.2;;;
;;;Mänttä-Vilppula;1069;19610503;1961;5;3;3365000;6885000;8.6;14.7;3.4;0;19155;5.43;;;
;;;Mänttä-Vilppula;1069;19610504;1961;5;4;3365000;6885000;9.1;16.9;-1.1;2;20175;6.72;;;
;;;Mänttä-Vilppula;1069;19610505;1961;5;5;3365000;6885000;9.7;14.7;6.3;0;10097;9.21;;;
;;;Mänttä-Vilppula;1069;19610506;1961;5;6;3365000;6885000;7.2;11;3.4;6;7201;9.69;;;
;;;Mänttä-Vilppula;1069;19610507;1961;5;7;3365000;6885000;8.5;11.8;7.2;2;8658;10.03;;;
;;;Mänttä-Vilppula;1069;19610508;1961;5;8;3365000;6885000;8;12.3;2.4;13;9576;9.52;;;
;;;Mänttä-Vilppula;1069;19610509;1961;5;9;3365000;6885000;7.9;11.2;6.8;2;7754;9.12;;;
